0,0
5,0.08
8.75,0.135585
12.5,0.348488
16.329875,0.503024
21.782125,0.677117
27.2345,0.85121
32.686875,1.0253
32.931,1.1995
53.98075,1.35393
64.64125,1.52792
70.093625,1.70202
75.51875,1.85675
91.3875,2.03065
107.14775,2.12712
138.5325,2.22329
174.88125,2.14516
190.34375,2.02873
216.1125,1.83468
236.6475,1.62137
252,1.42752
262.09125,1.19506
292.93375,0.904133
308.2875,0.710282
318.45875,0.535887
375.45125,0.321875
443.02125,0.22379
526.32625,0.0
568.235,0.0
610.03625,0.0
698.6025,0.0
766.0925,0.0
838.98,0.0
911.75875,0.0
958.55125,0.0
1000,0.0
