0.01,0.001
3.6231875,0.0190476
6.25,0.104762
10.8695625,0.161905
11.875,0.209524
14.49275,0.27619
15.74275,0.352381
16.99275,0.428571
18.116,0.495238
19.366,0.571429
20.616,0.647619
21.739125,0.761905
22.989125,0.857143
24.239125,0.942857
24.614125,1.0381
25.114125,1.10476
25.362375,1.22857
27.989125,1.32381
31.35875,1.45714
35.10875,1.59048
47.1015,1.74286
50.724625,1.85714
57.971,1.9619
68.840625,2.06667
76.087,2.1619
79.710125,2.24762
86.9565,2.32381
94.7065,2.39048
108.695625,2.50476
119.56525,2.6
130.435,2.65714
152.17375,2.70476
188.40625,2.64762
206.52125,2.59048
231.88375,2.49524
235.5075,2.39048
264.4925,2.28571
278.985,2.1619
304.3475,2.05714
307.97125,1.95238
322.46375,1.8381
333.33375,1.73333
344.2025,1.60952
351.44875,1.52381
362.31875,1.44762
376.81125,1.34286
384.0575,1.2381
394.9275,1.1619
402.17375,1.05714
403.42375,1
405.7975,0.92381
409.5475,0.838095
413.04375,0.742857
420.29,0.67619
421.54,0.6
423.9125,0.52381
425,0.447619
425.1625,0.419048
438.40625,0.295238
439.65625,0.190476
440.90625,0
442.02875,0
467.39125,0
521.73875,0
568.84,0
594.2025,0
623.18875,0
663.04375,0
731.88375,0
804.3475,0
851.44875,0
898.55125,0
949.275,0
996.37625,0
1000,0
