0.,2.42721e-05,
1.,0.140973,
2.53472,0.255537,
5.16810,0.396534,
13.2579,0.599255,
18.6537,0.731465,
32.1545,1.04877,
34.8031,1.17215,
45.6477,1.37490,
45.9883,1.55992,
61.8730,1.72747,
70.0008,1.88614,
86.3930,2.04488,
124.899,2.11571,
152.660,1.86925,
188.670,1.64048,
213.592,1.49092,
232.997,1.35011,
255.210,1.14766,
280.147,0.980473,
299.590,0.795616,
343.925,0.496438,
366.085,0.355660,
390.999,0.214906,
404.902,0.0652435,
413.205,0.0212624,
487.592,0.00,
553.715,0.00,
600.554,0.00,
669.432,0.0,
727.282,0.0,
812.658,0.0,
887.038,0.0,
955.908,0.0,
997.238,0.00,
1000,0
